"id","date","holiday_name","information","more_information","tenant_id","created_at","updated_at","deleted_at","creator_id"
"b7c68faf-a3db-4bcd-8efe-124d79beeb62","2021-04-25 00:00:00","Anzac Day","Celebrated on the 25 April each year.","https://www.nsw.gov.au/about-nsw/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"ba352e56-0f60-4eb6-90bc-fd3d0c69d502","2024-04-25 00:00:00","Anzac Day","Celebrated on the 25 April each year.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"bc95f909-11ff-4ef7-bb4d-96a1ad491797","2021-04-04 00:00:00","Easter Sunday","Public Holiday as part of Easter.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c00585c4-20e6-4d63-9ae6-b04bc2202eab","2022-08-01 00:00:00","Bank Holiday","Applies to banks and certain financial institutions, per the Retail Trading Act 2008","https://www.nsw.gov.au/about-nsw/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c0168068-696f-4089-98de-49f58102b72e","2026-10-06 00:00:00","Labour Day","","https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c10f9161-8f67-46c5-a093-4f8595be4ca8","2022-12-26 00:00:00","Boxing Day","Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c198ec71-fbee-4bdc-8b10-a6a534648565","2022-01-03 00:00:00","New Year's Day","New Year's Day is the first day of the calendar year and is celebrated each January 1st","https://nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c2a4b17c-febc-4efc-973e-af8fba39292a","2021-04-02 18:30:00","Easter Saturday","Easter Saturday is",NULL,"TENANT-20260116-0001","2026-03-16 12:59:18.987","2026-03-16 12:59:18.987",NULL,"66556575-dda4-4843-a5ba-aac44284dc69"
"c57433e8-c483-450c-af53-0366128bf9e7","2022-04-19 00:00:00","Easter Tuesday","Public Holiday currently observed by certain awards/agreements and the State Public Service","https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c8279802-2df9-45ff-8536-df615ba10e42","2021-12-27 00:00:00","Christmas (additional day)","As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c9069c6d-6387-430d-976d-e672906b054d","2026-03-10 00:00:00","Adelaide Cup Day","Observed across the org","Offices closed","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-18 09:40:16",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"c9b27d19-74cc-4d4a-9c7a-8288361c0ca3","2021-04-03 00:00:00","Easter Saturday","Easter Saturday is between Good Friday and Easter Sunday in Australia.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"ca9b532f-8dee-46f0-8b71-a6b2964d57bd","2026-03-10 00:00:00","Eight Hours Day","Observed across the org","Offices closed","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-18 09:40:32.663",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"cb6ce271-6072-4758-a3d4-6ebcbdeb6e6a","2026-11-04 00:00:00","Melbourne Cup","Melbourne Cup Day is a public holiday across all of Victoria unless alternate local holiday has been arranged by a non-metro council.","https://business.vic.gov.au/business-information/public-holidays/victorian-public-holidays-2025","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"ce475c9b-76ec-4a8d-a275-8eacfbd07cc9","2023-03-13 00:00:00","Labour Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://business.vic.gov.au/business-information/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"cec5e9de-6c60-4a7e-8d9f-f8c92a957f38","2024-05-06 00:00:00","Labour Day","Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d001499a-a71a-4b49-8a25-a7996b1c75e3","2023-11-07 00:00:00","Melbourne Cup","All of Victoria unless alternate local holiday has been arranged by non-metro council.","https://business.vic.gov.au/business-information/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d05f129f-c065-4792-b7ea-4bfab6211696","2023-05-01 00:00:00","Labour Day","Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d44956bb-0f86-46e9-a98c-e5ea0618a3f0","2024-12-31 00:00:00","New Year's Eve","Part-day holiday 7pm to midnight","https://nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d4a82990-c215-4343-a31d-3d14faa40391","2026-12-26 00:00:00","Proclamation Day holiday and Boxing Day","","https://www.safework.sa.gov.au/resources/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
